"condition1","condition2","t_statistic","df","p_value","mean_cond1","mean_cond2","method"
"WT+DMSO","14A02",7.95296118036546,15.0000002245774,9.25889568288245e-07,45999.125,39.5,"Welch Two Sample t-test"
"WT+DMSO","14A03",0.440551263638543,6.39161362649068,0.674049333411747,45999.125,42818.5,"Welch Two Sample t-test"
"WT+DMSO","14A04",1.4493112021498,4.48430222747617,0.213381715917329,45999.125,34701.5,"Welch Two Sample t-test"
"WT+DMSO","14A05",-0.90292831894059,2.10241549986091,0.457843832021763,45999.125,55294,"Welch Two Sample t-test"
"WT+DMSO","14A06",0.313088062169111,1.23866887838584,0.798697817436029,45999.125,40330.5,"Welch Two Sample t-test"
"WT+DMSO","14A07",2.93051587391203,15.5993268955226,0.0100043107760912,45999.125,28859.5,"Welch Two Sample t-test"
"WT+DMSO","14A08",0.948255797403442,2.23350077311735,0.433970931746858,45999.125,36553,"Welch Two Sample t-test"
"WT+DMSO","14A09",0.208677177927511,1.08328062765712,0.866976199386761,45999.125,39913,"Welch Two Sample t-test"
"WT+DMSO","14A10",1.55058518217554,2.41086932813996,0.240038282346642,45999.125,31122.5,"Welch Two Sample t-test"
"WT+DMSO","14A11",0.0225751436687251,1.37759467108255,0.98481139742184,45999.125,45661,"Welch Two Sample t-test"
"WT+DMSO","MUT+DMSO",3.90069948246214,23.0803038057907,0.000716021527910589,45999.125,20373,"Welch Two Sample t-test"
"WT+DMSO","14B02",1.42729950996782,2.70221830442736,0.258163533838933,45999.125,32966,"Welch Two Sample t-test"
"WT+DMSO","14B03",0.816245869486233,1.81290779850994,0.507644929752024,45999.125,36754.5,"Welch Two Sample t-test"
"WT+DMSO","14B04",2.81308908301636,5.81781467570262,0.0316685928978471,45999.125,25307.5,"Welch Two Sample t-test"
"WT+DMSO","14B05",5.65047254809845,15.6765958424389,3.90456738510139e-05,45999.125,12883,"Welch Two Sample t-test"
"WT+DMSO","14B06",0.966500230600074,1.15677940022697,0.492693415027406,45999.125,24950,"Welch Two Sample t-test"
"WT+DMSO","14B07",1.13283588881699,1.18734975736917,0.436219915620351,45999.125,23210.5,"Welch Two Sample t-test"
"WT+DMSO","14B08",2.85637444656864,2.16004280307821,0.0950884846116461,45999.125,17034.5,"Welch Two Sample t-test"
"WT+DMSO","14B09",2.95480145562167,1.71647410649633,0.117091968956753,45999.125,11087.5,"Welch Two Sample t-test"
"WT+DMSO","14B10",5.30610756656707,6.27212969907349,0.00158292692020117,45999.125,7550.5,"Welch Two Sample t-test"
"WT+DMSO","14B11",1.70745006817023,1.26584004890416,0.296083849424453,45999.125,16469.5,"Welch Two Sample t-test"
"WT+DMSO","14C02",2.43498427291272,1.48883574460465,0.176817835727616,45999.125,12996,"Welch Two Sample t-test"
"WT+DMSO","14C03",3.68450528208568,2.27314820135076,0.0544697259183053,45999.125,9625,"Welch Two Sample t-test"
"WT+DMSO","14C04",1.98087948452279,1.34261593290038,0.244599510056235,45999.125,15151,"Welch Two Sample t-test"
"WT+DMSO","14C05",4.43707656053445,3.06612631845612,0.0203250718037172,45999.125,7358,"Welch Two Sample t-test"
"WT+DMSO","14C06",2.92406943240157,1.9440729158378,0.103112898426493,45999.125,14436,"Welch Two Sample t-test"
"WT+DMSO","14C07",1.1433868053471,1.17753180250377,0.434260890624888,45999.125,22443.5,"Welch Two Sample t-test"
"WT+DMSO","14C08",5.86097063623938,6.81296556498106,0.000689012549975377,45999.125,4194,"Welch Two Sample t-test"
"WT+DMSO","14C09",2.38221687196724,1.66504412409791,0.164879373992448,45999.125,17120.5,"Welch Two Sample t-test"
"WT+DMSO","14C10",2.45926020182606,1.53580141352311,0.169777741834383,45999.125,13786,"Welch Two Sample t-test"
"WT+DMSO","14C11",3.53067722741696,2.38603284705531,0.0551580455445899,45999.125,11960,"Welch Two Sample t-test"
"WT+DMSO","14D02",2.52138209695618,5.13379204148009,0.0518379128583578,45999.125,26954,"Welch Two Sample t-test"
"WT+DMSO","14D03",1.5099646730881,4.72397289911841,0.194775895927612,45999.125,34375,"Welch Two Sample t-test"
"WT+DMSO","14D04",3.35515483576901,2.39297163930076,0.061054140811939,45999.125,13696.5,"Welch Two Sample t-test"
"WT+DMSO","14D05",1.61669759509066,15.5214591151421,0.12608287658602,45999.125,36561.5,"Welch Two Sample t-test"
"WT+DMSO","14D06",2.98688697097816,2.95489121866028,0.0594004245189708,45999.125,19642.5,"Welch Two Sample t-test"
"WT+DMSO","14D07",5.86182704267428,15.9010595308855,2.46919492483174e-05,45999.125,11364,"Welch Two Sample t-test"
"WT+DMSO","14D08",2.56257447539517,1.67903920427876,0.147674636993968,45999.125,15158,"Welch Two Sample t-test"
"WT+DMSO","14D09",3.4430200893036,15.0759776169666,0.00360027193243487,45999.125,26076.5,"Welch Two Sample t-test"
"WT+DMSO","14D10",-0.0238072877771151,1.75882048036182,0.983425893158638,45999.125,46275,"Welch Two Sample t-test"
